"Year"	"Category ID"	"Category"	"Sub Category ID"	"Sub Category"	"Amount"
2012	1	"健康福祉"	"project-1"	"国民健康保険事業"	359535
2012	1	"健康福祉"	"project-2"	"介護保険事業"	213391
2012	1	"健康福祉"	"project-3"	"生活保護費"	124303
2012	1	"健康福祉"	"project-4"	"後期高齢者医療事業"	63061
2012	1	"健康福祉"	"project-5"	"障害者自立支援法関連事業"	59984
2012	1	"健康福祉"	"project-6"	"敬老特別乗車証・特別乗車券の交付"	14514
2012	1	"健康福祉"	"project-7"	"こども青少年小児医療費の助成"	6570
2012	1	"健康福祉"	"project-8"	"障害者地域作業所・小規模通所施設設置・運営"	5024
2012	1	"健康福祉"	"project-9"	"個別予防接種事業"	4476
2012	1	"健康福祉"	"project-10"	"子宮頸がん等ワクチン接種緊急促進事業"	3748
2012	1	"健康福祉"	"project-11"	"がん対策の推進"	3591
2012	1	"健康福祉"	"project-12"	"将来にわたるあんしん施策"	2670
2012	1	"健康福祉"	"project-13"	"特別養護老人ホームの整備"	2293
2012	1	"健康福祉"	"project-14"	"障害者施設の整備"	1728
2012	1	"健康福祉"	"project-15"	"市立病院医療機能の充実・強化"	1256
2012	1	"健康福祉"	"project-16"	"救急医療体制の充実"	1137
2012	1	"健康福祉"	"project-17"	"小規模多機能型居宅介護事業所等の整備"	698
2012	1	"健康福祉"	"project-18"	"地域医療体制の確保"	651
2012	1	"健康福祉"	"project-19"	"被保護者の労支援"	339
2012	1	"健康福祉"	"project-20"	"障害者自立生活アシスタントによる支援"	330
2012	1	"健康福祉"	"project-21"	"地域ケアプラザの整備"	304
2012	1	"健康福祉"	"project-22"	"精神科救急医療体制の充実"	296
2012	1	"健康福祉"	"project-23"	"医療対応促進助成事業"	268
2012	1	"健康福祉"	"project-24"	"障害者就労支援センターの運営と就労支援強化"	265
2012	1	"健康福祉"	"project-25"	"定期巡回・随時対応型訪問介護看護事業所の整備"	226
2012	1	"健康福祉"	"project-26"	"産科・周産期医療の充実"	205
2012	1	"健康福祉"	"project-27"	"地域福祉・交流拠点モデル事業"	180
2012	1	"健康福祉"	"project-28"	"障害者グループホームの整備"	165
2012	1	"健康福祉"	"project-29"	"重度重複障害者(児)デイサーデイサービス激変緩和事業"	144
2012	1	"健康福祉"	"project-30"	"介護サービス自己負担助成費"	83
2012	1	"健康福祉"	"project-31"	"食育推進事業"	69
2012	1	"健康福祉"	"project-32"	"介護支援ボランティアポイント事業"	65
2012	1	"健康福祉"	"project-33"	"自殺対策事業"	42
2012	1	"健康福祉"	"project-34"	"災害医療体制の充実"	42
2012	1	"健康福祉"	"project-35"	"ノンステップバス導入費助成"	38
2012	1	"健康福祉"	"project-36"	"ひとり暮らし高齢者「地域で見守り」推進事業"	32
2012	1	"健康福祉"	"project-37"	"鉄道駅舎エレベーター設置事業"	23
